date,theftType
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/29/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/30/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
3/31/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/1/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/2/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/3/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/4/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/5/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/6/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/7/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
