Date,theftType,Latitude,Longitude
3/25/2020,BURGLARY,42.00486418,-87.69908877
3/25/2020,BURGLARY,41.96732673,-87.71577654
3/25/2020,BURGLARY,41.70715463,-87.62419739
3/25/2020,BURGLARY,41.7473434,-87.55523999
3/25/2020,BURGLARY,41.75516424,-87.66598841
3/25/2020,BURGLARY,41.75516424,-87.66598841
3/25/2020,BURGLARY,41.8624521,-87.69253924
3/25/2020,BURGLARY,41.70410632,-87.65104812
3/25/2020,BURGLARY,41.65847865,-87.6404454
3/25/2020,BURGLARY,41.8700887,-87.70183269
3/25/2020,BURGLARY,41.89578711,-87.76235662
3/25/2020,BURGLARY,41.76625701,-87.57451239
3/25/2020,BURGLARY,41.90848079,-87.67450405
3/24/2020,BURGLARY,41.74506691,-87.60137267
3/24/2020,BURGLARY,41.76357821,-87.69544834
3/24/2020,BURGLARY,41.90551426,-87.71242353
3/24/2020,BURGLARY,41.97249315,-87.71103428
3/24/2020,BURGLARY,41.96806259,-87.74458353
3/24/2020,BURGLARY,41.76824967,-87.68868283
3/24/2020,BURGLARY,42.02004332,-87.66824564
3/24/2020,BURGLARY,41.75321442,-87.55700517
3/24/2020,BURGLARY,41.94312041,-87.74084695
3/24/2020,BURGLARY,42.01718488,-87.66416858
3/24/2020,BURGLARY,41.85519055,-87.6238712
3/24/2020,BURGLARY,41.76454964,-87.63098102
3/24/2020,BURGLARY,41.72813208,-87.63493135
3/24/2020,BURGLARY,41.78026798,-87.61396982
3/23/2020,BURGLARY,41.72130308,-87.65582598
3/23/2020,BURGLARY,41.8033497,-87.59915093
3/23/2020,BURGLARY,41.73135329,-87.66293402
3/23/2020,BURGLARY,41.76177105,-87.568862
3/23/2020,BURGLARY,41.79886661,-87.64405862
3/23/2020,BURGLARY,41.71616133,-87.57350867
3/23/2020,BURGLARY,41.68278813,-87.66880884
3/23/2020,BURGLARY,41.7422407,-87.54542288
3/23/2020,BURGLARY,41.93388424,-87.70287964
3/23/2020,BURGLARY,41.94042206,-87.76512325
3/23/2020,BURGLARY,41.87796577,-87.72646384
3/22/2020,BURGLARY,41.80807504,-87.7075846
3/22/2020,BURGLARY,41.96110872,-87.71482548
3/22/2020,BURGLARY,41.74331792,-87.61471219
3/22/2020,BURGLARY,41.88195199,-87.63318536
3/22/2020,BURGLARY,41.74563951,-87.70106027
3/22/2020,BURGLARY,41.77458876,-87.68962019
3/22/2020,BURGLARY,41.74478276,-87.61637047
3/22/2020,BURGLARY,41.78983254,-87.6584051
3/22/2020,BURGLARY,41.8957843,-87.75195105
3/22/2020,BURGLARY,41.99748655,-87.70384887
3/22/2020,BURGLARY,41.8543004,-87.62282023
3/22/2020,BURGLARY,41.9247069,-87.63993142
3/21/2020,BURGLARY,41.8990483,-87.72307228
3/21/2020,BURGLARY,41.9677057,-87.69377267
3/21/2020,BURGLARY,41.69146221,-87.62103429
3/21/2020,BURGLARY,41.7690275,-87.57515424
3/21/2020,BURGLARY,41.95316506,-87.76878196
3/21/2020,BURGLARY,41.76244863,-87.56307001
3/21/2020,BURGLARY,41.98262954,-87.65658978
3/21/2020,BURGLARY,41.67601467,-87.63993523
3/21/2020,BURGLARY,41.90530236,-87.72151392
3/21/2020,BURGLARY,41.74201838,-87.54541827
3/21/2020,BURGLARY,41.89400518,-87.75178354
3/21/2020,BURGLARY,41.78143775,-87.60840574
3/21/2020,BURGLARY,41.69340045,-87.63096472
3/21/2020,BURGLARY,41.74270198,-87.64866831
3/20/2020,BURGLARY,41.93994278,-87.83252941
3/20/2020,BURGLARY,41.88924544,-87.62857739
3/20/2020,BURGLARY,41.67734988,-87.67136493
3/20/2020,BURGLARY,41.79734891,-87.58231658
3/20/2020,BURGLARY,41.69677445,-87.65352765
3/20/2020,BURGLARY,41.8990483,-87.72307228
3/20/2020,BURGLARY,41.88030381,-87.63697827
3/20/2020,BURGLARY,41.87442038,-87.63837499
3/20/2020,BURGLARY,41.78651398,-87.68691219
3/20/2020,BURGLARY,41.70241215,-87.66963583
3/20/2020,BURGLARY,41.99750558,-87.70281493
3/20/2020,BURGLARY,41.76711461,-87.57099061
3/20/2020,BURGLARY,41.88371775,-87.72698964
3/20/2020,BURGLARY,41.77620982,-87.60709347
3/20/2020,BURGLARY,41.91315002,-87.75633821
3/20/2020,BURGLARY,41.91072362,-87.67800053
3/19/2020,BURGLARY,41.92134399,-87.77684873
3/19/2020,BURGLARY,41.95698875,-87.75410835
3/19/2020,BURGLARY,41.7583573,-87.5627231
3/19/2020,BURGLARY,41.70245595,-87.62457859
3/19/2020,BURGLARY,41.75881105,-87.5819231
3/19/2020,BURGLARY,41.77241158,-87.58779118
3/19/2020,BURGLARY,41.66969214,-87.63682977
3/19/2020,BURGLARY,41.69545717,-87.63884034
3/19/2020,BURGLARY,41.7970835,-87.70947754
3/19/2020,BURGLARY,41.87528403,-87.72427511
3/19/2020,BURGLARY,41.92408814,-87.66328292
3/19/2020,BURGLARY,41.79288895,-87.62323117
3/19/2020,BURGLARY,41.76740862,-87.68943171
3/19/2020,BURGLARY,41.79196263,-87.62077347
3/19/2020,BURGLARY,41.78698552,-87.61740749
3/19/2020,BURGLARY,41.75112804,-87.61424762
3/19/2020,BURGLARY,41.91051324,-87.67576164
3/19/2020,BURGLARY,41.74124179,-87.61141928
3/19/2020,BURGLARY,41.73634275,-87.62323888
3/19/2020,BURGLARY,41.90457614,-87.7150408
3/19/2020,BURGLARY,41.95001428,-87.64957533
3/19/2020,BURGLARY,41.94474847,-87.65425575
3/19/2020,BURGLARY,41.93988633,-87.65575182
3/19/2020,BURGLARY,41.89308806,-87.68263231
3/19/2020,BURGLARY,41.68706038,-87.62951067
3/19/2020,BURGLARY,41.82679786,-87.61802812
